"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N0561","YEARLY","Auto.Arima",0.17522373224799,0.136310587235456,9.68539834630884
"2","N0561","YEARLY","BSTS",0.169844942298387,0.129240030223761,9.20189009157665
"3","N0561","YEARLY","ETS",0.203023897711881,0.149120674387708,10.6596657599252
"4","N0561","YEARLY","THETA",0.12933207091934,0.110899070797571,7.78573598578529
"5","N0561","YEARLY","BEA",0.182482008838959,0.136962251872864,9.76627773737973
"6","N0561","YEARLY","EAT",0.167880454805344,0.1308485987308,9.29422636878261
"7","N0561","YEARLY","BAT",0.157370467323062,0.125483229418929,8.89100814122359
"8","N0561","YEARLY","BET",0.166087213576285,0.128491746393569,9.13305695053855
"9","N0561","YEARLY","BEAT",0.168356900104864,0.13044645660404,9.27114229948112
"10","N0561","YEARLY","medianBEAT",0.172505643819594,0.132775308729608,9.44364421894273
"11","N0561","YEARLY","meanBaggedBEAT",0.171164730330767,0.131698101115278,9.36656505058761
"12","N0561","YEARLY","medianBaggedBEAT",0.176350609341253,0.132080914449263,9.41932110655764
"13","N0561","YEARLY","meanPertBEAT",0.167058050095114,0.130313735571369,9.25522506493396
"14","N0561","YEARLY","medianPertBEAT",0.169589434284593,0.132317985568324,9.39824943251524
"15","N0562","YEARLY","Auto.Arima",0.107711181977411,0.0933697281951892,7.08936481548958
"16","N0562","YEARLY","BSTS",0.109767680377345,0.0967571576566112,7.33679928158821
"17","N0562","YEARLY","ETS",0.105891787960187,0.0925461770940749,7.02049057626615
"18","N0562","YEARLY","THETA",0.0824744759132946,0.0746435038730718,5.57822366916104
"19","N0562","YEARLY","BEA",0.10777649810508,0.0942243543152918,7.14888489111465
"20","N0562","YEARLY","EAT",0.0968321460497699,0.0868531363874453,6.56269302030559
"21","N0562","YEARLY","BAT",0.0980656826674051,0.0882567965749574,6.66812925541294
"22","N0562","YEARLY","BET",0.0975547411252409,0.0879822795412527,6.64517117567181
"23","N0562","YEARLY","BEAT",0.0999169406394547,0.0893291417047369,6.75621958562625
"24","N0562","YEARLY","medianBEAT",0.107235754550759,0.0941249877644851,7.13923987411503
"25","N0562","YEARLY","meanBaggedBEAT",0.0925575299579335,0.0869784411785467,6.52155887595988
"26","N0562","YEARLY","medianBaggedBEAT",0.0960509675592691,0.0887149747944462,6.6794045926956
"27","N0562","YEARLY","meanPertBEAT",0.0936457300197612,0.0877756189895627,6.58983982520415
"28","N0562","YEARLY","medianPertBEAT",0.0930647979649576,0.0872758170650819,6.54883940222847
"29","N0563","YEARLY","Auto.Arima",0.305567464004978,0.229174942000588,14.9890697423761
"30","N0563","YEARLY","BSTS",0.248006682371011,0.18823617296712,12.3029809432321
"31","N0563","YEARLY","ETS",0.330396051276783,0.252924777495768,16.4918896649772
"32","N0563","YEARLY","THETA",0.209601665668536,0.162993675295881,10.5969439534785
"33","N0563","YEARLY","BEA",0.294419374840899,0.220870734740628,14.4520173030025
"34","N0563","YEARLY","EAT",0.280822002260343,0.207347770197383,13.5913273758021
"35","N0563","YEARLY","BAT",0.253663089964614,0.189722096783013,12.4134994342511
"36","N0563","YEARLY","BET",0.261681918116979,0.195249744429672,12.7815848095092
"37","N0563","YEARLY","BEAT",0.272564338386686,0.202541554504066,13.2675589331099
"38","N0563","YEARLY","medianBEAT",0.27660787839235,0.206326578847185,13.5142311235721
"39","N0563","YEARLY","meanBaggedBEAT",0.292187083149201,0.219476017627224,14.359927440224
"40","N0563","YEARLY","medianBaggedBEAT",0.293450013230411,0.221944866193292,14.5113854994326
"41","N0563","YEARLY","meanPertBEAT",0.263348674277934,0.196271197321061,12.8495202389281
"42","N0563","YEARLY","medianPertBEAT",0.267789219101871,0.198960103207428,13.0300649197314
"43","N0564","YEARLY","Auto.Arima",0.154460510876602,0.122501548727421,15.8288542574182
"44","N0564","YEARLY","BSTS",0.0853317289600922,0.0676231832906375,8.73982504429769
"45","N0564","YEARLY","ETS",0.146306132913975,0.12345280159198,15.7637447937181
"46","N0564","YEARLY","THETA",0.126793258346895,0.105759723050206,13.5357956297026
"47","N0564","YEARLY","BEA",0.128561691230986,0.10452584453668,13.4441413651447
"48","N0564","YEARLY","EAT",0.142409573367798,0.117238024456536,15.0427982269463
"49","N0564","YEARLY","BAT",0.122110280640408,0.0986281516894213,12.7014916438062
"50","N0564","YEARLY","BET",0.119385935459752,0.0989452359776078,12.6797884892395
"51","N0564","YEARLY","BEAT",0.128102874563498,0.104834314165061,13.4670549312842
"52","N0564","YEARLY","medianBEAT",0.135620767604445,0.111186241401721,14.2764664729978
"53","N0564","YEARLY","meanBaggedBEAT",0.13362237254228,0.112910655591782,14.4139047253345
"54","N0564","YEARLY","medianBaggedBEAT",0.131158355716633,0.111225668003364,14.1892306175762
"55","N0564","YEARLY","meanPertBEAT",0.134296167391931,0.114275926566165,14.567740982394
"56","N0564","YEARLY","medianPertBEAT",0.133444527234538,0.112892030359494,14.4086008352316
"57","N0565","YEARLY","Auto.Arima",0.150985805815808,0.128125904237841,23.1560391182051
"58","N0565","YEARLY","BSTS",0.0990988837830527,0.09001219302785,15.7796344058215
"59","N0565","YEARLY","ETS",0.141471107875955,0.112765397558233,23.3961881420963
"60","N0565","YEARLY","THETA",0.0845595884911875,0.0808728467021521,15.5474389324064
"61","N0565","YEARLY","BEA",0.0802104219696217,0.0656436537558091,11.1257419723595
"62","N0565","YEARLY","EAT",0.0760212805896316,0.0721527387603504,13.160110231377
"63","N0565","YEARLY","BAT",0.0918069828757598,0.0792882414970818,13.6467818109022
"64","N0565","YEARLY","BET",0.0836728881750129,0.0803922430519687,15.3076872136735
"65","N0565","YEARLY","BEAT",0.0768525150539229,0.0678652584484853,11.9051685320963
"66","N0565","YEARLY","medianBEAT",0.0782174664879757,0.0679378321075212,11.8438911833301
"67","N0565","YEARLY","meanBaggedBEAT",0.107717445258443,0.0933176324289037,18.6485564262055
"68","N0565","YEARLY","medianBaggedBEAT",0.083114544182945,0.079141776085996,14.7555245019168
"69","N0565","YEARLY","meanPertBEAT",0.11039645826469,0.0944943571357429,18.8927337324022
"70","N0565","YEARLY","medianPertBEAT",0.0966366064323816,0.0863534096392739,16.8677207682415
"71","N0566","YEARLY","Auto.Arima",0.0412298015432819,0.0351462241279287,3.03644460696422
"72","N0566","YEARLY","BSTS",0.14439274857969,0.12416657565767,11.1326817938903
"73","N0566","YEARLY","ETS",0.0372803548741101,0.0298611629071614,2.62886402008431
"74","N0566","YEARLY","THETA",0.0412524706966541,0.0333776766936983,2.95017166166191
"75","N0566","YEARLY","BEA",0.0558665391930726,0.0468023789539253,4.16676528536495
"76","N0566","YEARLY","EAT",0.0330479875379037,0.0260288108725126,2.26570278687798
"77","N0566","YEARLY","BAT",0.0576489717365411,0.0485159425007289,4.32099754021067
"78","N0566","YEARLY","BET",0.0699972244042153,0.0605829709924292,5.4067188182018
"79","N0566","YEARLY","BEAT",0.0519270948839592,0.0429421627104475,3.81884539218024
"80","N0566","YEARLY","medianBEAT",0.0391907674625965,0.0312998098812808,2.76159069411168
"81","N0566","YEARLY","meanBaggedBEAT",0.0812115619923869,0.0714179523189912,6.38834608648145
"82","N0566","YEARLY","medianBaggedBEAT",0.061661916413538,0.0541718902439545,4.83628521630992
"83","N0566","YEARLY","meanPertBEAT",0.0556823293445801,0.0478824268389252,4.26787251319204
"84","N0566","YEARLY","medianPertBEAT",0.0570240026215015,0.0496878639906493,4.42741406677615
"85","N0567","YEARLY","Auto.Arima",0.347447453889443,0.311908117921116,38.3932427713756
"86","N0567","YEARLY","BSTS",0.248779706352539,0.218639862564731,26.9569399301659
"87","N0567","YEARLY","ETS",0.0829359293728048,0.0784415862334463,9.61628889279717
"88","N0567","YEARLY","THETA",0.111818477433443,0.104624824248118,12.8397530008002
"89","N0567","YEARLY","BEA",0.171588356157177,0.150702131417467,18.5779646029148
"90","N0567","YEARLY","EAT",0.0524972571261271,0.0429472358131839,5.31240029259273
"91","N0567","YEARLY","BAT",0.161896595374063,0.141974385412576,17.5034765669138
"92","N0567","YEARLY","BET",0.0223126689597661,0.0175768228319638,2.17283931238734
"93","N0567","YEARLY","BEAT",0.101268390782738,0.0868703925010707,10.723535201986
"94","N0567","YEARLY","medianBEAT",0.0841813460423434,0.0700991381656425,8.67032551868436
"95","N0567","YEARLY","meanBaggedBEAT",0.169526202689163,0.144997600333715,17.9096909505274
"96","N0567","YEARLY","medianBaggedBEAT",0.166387150456602,0.142717320654735,17.6241587692106
"97","N0567","YEARLY","meanPertBEAT",0.106647622779107,0.0889772894532919,11.0060469021987
"98","N0567","YEARLY","medianPertBEAT",0.10815103823294,0.0916852100521951,11.3284802281094
"99","N0568","YEARLY","Auto.Arima",0.378579715312865,0.342144524264056,43.4510380969704
"100","N0568","YEARLY","BSTS",0.262086992628912,0.231048049424921,29.4110719844664
"101","N0568","YEARLY","ETS",0.0979410751100699,0.0833250604946848,10.6342302948636
"102","N0568","YEARLY","THETA",0.117009405760638,0.108784539912769,13.7830464436647
"103","N0568","YEARLY","BEA",0.246004128833757,0.218839211394554,27.8321134587668
"104","N0568","YEARLY","EAT",0.120098283370583,0.105561681615324,13.4340739827231
"105","N0568","YEARLY","BAT",0.174831137011585,0.154802677925403,19.6930212125907
"106","N0568","YEARLY","BET",0.0816871176263588,0.0685295233356122,8.75408527855508
"107","N0568","YEARLY","BEAT",0.155556181446441,0.136933273567723,17.4283234831589
"108","N0568","YEARLY","medianBEAT",0.179926215330654,0.157186554959803,20.022651139665
"109","N0568","YEARLY","meanBaggedBEAT",0.150394520976129,0.130009406868695,16.5744994618927
"110","N0568","YEARLY","medianBaggedBEAT",0.157377657245367,0.135999246408853,17.3399162489545
"111","N0568","YEARLY","meanPertBEAT",0.158910268647304,0.137300384583056,17.5052554249312
"112","N0568","YEARLY","medianPertBEAT",0.133583966287111,0.113608793441467,14.5025623917704
"113","N0569","YEARLY","Auto.Arima",0.184258790371984,0.178897641526112,25.2609855059446
"114","N0569","YEARLY","BSTS",0.121751145834361,0.119520546100438,16.8308990996265
"115","N0569","YEARLY","ETS",0.138317957966441,0.134831369021022,19.031665593283
"116","N0569","YEARLY","THETA",0.154434364674725,0.150049549577974,21.1907782305618
"117","N0569","YEARLY","BEA",0.147804338081583,0.144416518882524,20.3745167329514
"118","N0569","YEARLY","EAT",0.158949590272372,0.154592853375036,21.8278097765965
"119","N0569","YEARLY","BAT",0.153152867264059,0.149489245734842,21.0942209453776
"120","N0569","YEARLY","BET",0.13795840231551,0.134800488233145,19.0177809744905
"121","N0569","YEARLY","BEAT",0.149440442911993,0.145824776556387,20.578582107354
"122","N0569","YEARLY","medianBEAT",0.146655388347261,0.14288245954266,20.1697592380047
"123","N0569","YEARLY","meanBaggedBEAT",0.170779825148269,0.168839198598815,23.7484080133294
"124","N0569","YEARLY","medianBaggedBEAT",0.181270072846424,0.179069267162007,25.196770939553
"125","N0569","YEARLY","meanPertBEAT",0.109544196710646,0.107384181194049,15.0973434420039
"126","N0569","YEARLY","medianPertBEAT",0.112678161230973,0.110580693125447,15.5511180783696
"127","N0570","YEARLY","Auto.Arima",0.115119846557237,0.0904299965184453,24.0250837738127
"128","N0570","YEARLY","BSTS",0.123662088786313,0.10295674316332,27.1809025025586
