"","Series","Period","Method","RMSE","MAE","MAPE"
"58","N0555","YEARLY","BSTS",0.0635570224917235,0.054036519234663,3.67778849716938
"59","N0555","YEARLY","ETS",0.409108310168115,0.378919653717871,26.4148732572998
"60","N0555","YEARLY","THETA",0.379503403371419,0.352175730879129,24.5454092605549
"61","N0555","YEARLY","BEA",0.185167909217267,0.17346807155256,12.0760070524039
"62","N0555","YEARLY","EAT",0.295239087861746,0.272847808767382,19.031880640199
"63","N0555","YEARLY","BAT",0.175484987746695,0.164553430606312,11.4528523868222
"64","N0555","YEARLY","BET",0.27863096027028,0.261710634610554,18.2126903383413
"65","N0555","YEARLY","BEAT",0.233408629286317,0.218144986384202,15.1933576044416
"66","N0555","YEARLY","medianBEAT",0.240877094220381,0.223933515071725,15.6086512834589
"67","N0555","YEARLY","meanBaggedBEAT",0.421159139361051,0.400445319215367,27.8080938785641
"68","N0555","YEARLY","medianBaggedBEAT",0.401676613780525,0.383424628919676,26.6077081587036
"69","N0555","YEARLY","meanPertBEAT",0.339753363206494,0.322366063821638,22.3967143196925
"70","N0555","YEARLY","medianPertBEAT",0.358895889067192,0.340294804289397,23.6433375304604
"71","N0556","YEARLY","Auto.Arima",0.0929507343984334,0.0678148184371758,4.58007879525664
"72","N0556","YEARLY","BSTS",0.453595022725865,0.39191613316399,31.1663815676492
"73","N0556","YEARLY","ETS",0.441952224006541,0.374353304933596,29.9813745611341
"74","N0556","YEARLY","THETA",0.553047392646233,0.475334171176418,37.8743946465007
"75","N0556","YEARLY","BEA",0.285106124267659,0.23281820655347,18.8558924445089
"76","N0556","YEARLY","EAT",0.317898165680575,0.260624219224279,21.0918968041261
"77","N0556","YEARLY","BAT",0.321503014735538,0.266478495301077,21.4868991396311
"78","N0556","YEARLY","BET",0.482782842055772,0.413867869758001,33.0073835917613
"79","N0556","YEARLY","BEAT",0.351493349495468,0.293447197709207,23.6105179950068
"80","N0556","YEARLY","medianBEAT",0.447709156358936,0.383134719048793,30.5738780643917
"81","N0556","YEARLY","meanBaggedBEAT",0.774679220802302,0.680868873490434,53.8022604912758
"82","N0556","YEARLY","medianBaggedBEAT",0.73898013959285,0.64986037889153,51.325794018912
"83","N0556","YEARLY","meanPertBEAT",0.896842444285829,0.806484923083892,63.1658158201135
"84","N0556","YEARLY","medianPertBEAT",1.00471924253905,0.916918203044161,71.3770553331894
"85","N0557","YEARLY","Auto.Arima",1.33930475334513,1.22405090323396,89.727165366094
"86","N0557","YEARLY","BSTS",1.37859930326357,1.26175960908236,92.4362332042672
"87","N0557","YEARLY","ETS",0.620433264607737,0.5755598499764,41.9760931766896
"88","N0557","YEARLY","THETA",0.739769353951803,0.683541754884343,49.9272394899519
"89","N0557","YEARLY","BEA",1.11239426837272,1.02045678743091,74.7131639156836
"90","N0557","YEARLY","EAT",0.899443655322204,0.827717502698235,60.5434993442452
"91","N0557","YEARLY","BAT",1.15234326029567,1.05645075573355,77.3635460201044
"92","N0557","YEARLY","BET",0.912560296610351,0.840287071314367,61.4465219569696
"93","N0557","YEARLY","BEAT",1.01914886736106,0.936228029294266,68.5166828092507
"94","N0557","YEARLY","medianBEAT",1.03926464987983,0.953796329059152,69.8272024280229
"95","N0557","YEARLY","meanBaggedBEAT",1.11939156393709,1.02838349214939,75.2470903683352
"96","N0557","YEARLY","medianBaggedBEAT",1.04565965218974,0.963332609034781,70.4188282182341
"97","N0557","YEARLY","meanPertBEAT",1.07394756349821,0.987142082027043,72.2169924415835
"98","N0557","YEARLY","medianPertBEAT",1.01096802866538,0.929739394317873,68.0103657446335
"99","N0558","YEARLY","Auto.Arima",0.424027885010307,0.370617283950617,24.4656148532698
"100","N0558","YEARLY","BSTS",0.42042929365148,0.375663197324524,25.4186429623401
"101","N0558","YEARLY","ETS",0.433652146116197,0.378729752425686,24.942134679197
"102","N0558","YEARLY","THETA",0.505247429800032,0.439944986050522,28.7339136774573
"103","N0558","YEARLY","BEA",0.424987205796535,0.375003411233609,24.9421308316023
"104","N0558","YEARLY","EAT",0.453020255300364,0.392178507359864,25.6066182619288
"105","N0558","YEARLY","BAT",0.446463871496613,0.391156322326143,25.7654543563098
"106","N0558","YEARLY","BET",0.44972769732998,0.393860478484499,25.9242942982855
"107","N0558","YEARLY","BEAT",0.443246144107887,0.388049679851029,25.5596244370316
"108","N0558","YEARLY","medianBEAT",0.43355279542942,0.379350352875136,25.0169880763937
"109","N0558","YEARLY","meanBaggedBEAT",0.373467518429058,0.32865610580483,22.4743492275915
"110","N0558","YEARLY","medianBaggedBEAT",0.379273736388352,0.332600284526556,22.3840281123515
"111","N0558","YEARLY","meanPertBEAT",0.390499236228029,0.345049373457138,23.3157444676496
"112","N0558","YEARLY","medianPertBEAT",0.398007908377528,0.350164172433805,23.4040543375386
"113","N0559","YEARLY","Auto.Arima",0.298249570479671,0.258071775321246,34.4062219648013
"114","N0559","YEARLY","BSTS",0.578168170108016,0.52142239467442,67.8858838217827
"115","N0559","YEARLY","ETS",0.298279148572646,0.258094705764343,34.4093586254896
"116","N0559","YEARLY","THETA",0.389258145476776,0.339273603471763,45.1146113638388
"117","N0559","YEARLY","BEA",0.051815016182527,0.0463973787638155,5.18826618085923
"118","N0559","YEARLY","EAT",0.328526464855895,0.28408350591564,37.8812177119597
"119","N0559","YEARLY","BAT",0.062075189935468,0.0576815117490339,6.96283752635904
"120","N0559","YEARLY","BET",0.0620797665858285,0.05768533348955,6.96347805122905
"121","N0559","YEARLY","BEAT",0.111966980655521,0.0996002225966835,12.9570638460311
"122","N0559","YEARLY","medianBEAT",0.298264359396996,0.258083240542795,34.4077902951455
"123","N0559","YEARLY","meanBaggedBEAT",0.425445777163468,0.395477833402923,51.1996261268864
"124","N0559","YEARLY","medianBaggedBEAT",0.486786039657597,0.451154919671689,58.4808872729744
"125","N0559","YEARLY","meanPertBEAT",0.351909974447171,0.325597153023201,42.2272510544215
"126","N0559","YEARLY","medianPertBEAT",0.384305558140843,0.352619907776582,45.9280373504382
"127","N0560","YEARLY","Auto.Arima",0.0430943268158776,0.032981869615533,3.37555888383194
"128","N0560","YEARLY","BSTS",0.0485315067879207,0.0350352682881362,3.58263233087692
"129","N0560","YEARLY","ETS",0.0431522678192474,0.0330018811794887,3.37756709409094
"130","N0560","YEARLY","THETA",0.0669164259118875,0.0637943392934041,6.58033909481928
"131","N0560","YEARLY","BEA",0.0449028794379058,0.0336730063610526,3.44525276959993
"132","N0560","YEARLY","EAT",0.0211812745847278,0.0199781064404207,2.06201046172196
"133","N0560","YEARLY","BAT",0.0215815189055073,0.0206559021433032,2.13036554065062
"134","N0560","YEARLY","BET",0.0215860249461329,0.0206625726646218,2.13103494407029
"135","N0560","YEARLY","BEAT",0.025010839041084,0.0237423969023495,2.4421659290107
"136","N0560","YEARLY","medianBEAT",0.0431232927957396,0.0329918753975108,3.37656298896144
"137","N0560","YEARLY","meanBaggedBEAT",0.0311572187480712,0.0280387929963478,2.87817130973314
"138","N0560","YEARLY","medianBaggedBEAT",0.028304174916877,0.0262311965935032,2.69500753588951
"139","N0560","YEARLY","meanPertBEAT",0.0282025121416706,0.0255289487721746,2.62169983035824
"140","N0560","YEARLY","medianPertBEAT",0.0272495232673171,0.025479619435297,2.6196385069585
